assessment_id,harness_id,project_name,ref,generated_at,rubric_version,ai_native_class,verdict,recommended_topology,harness_kind,execution_model,state_mode,tool_mode,metric_id,metric_group,vsm_function,axis,scenario,workload_id,value,max_value,unit,status,confidence,evidence_level,availability
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,compute.tokens.avoidable_duplicate,compute,,current,current,unbounded-generic-task,,,tokens_per_run,unknown,unavailable,E0,unknown
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,compute.tokens.sent,compute,,current,current,unbounded-generic-task,,,tokens_per_run,unknown,unavailable,E0,unknown
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,gate.ai_native,classification,,gate,,,1,1,boolean,observed,high,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.algedonic.design,vsm_function,Algedonic,design,,,0,3,score,red,medium,E0,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.algedonic.operation,vsm_function,Algedonic,operation,,,0,3,score,red,medium,E0,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.channels.design,vsm_function,Channels,design,,,2,3,score,yellow,high,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.channels.operation,vsm_function,Channels,operation,,,2,3,score,yellow,high,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.observability.design,vsm_function,Observability,design,,,2,3,score,yellow,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.observability.operation,vsm_function,Observability,operation,,,1,3,score,yellow,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.operational_maturity,vsm_completeness,,operation,,,10,30,score,assessed,medium,E3,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.recursion.design,vsm_function,Recursion,design,,,2,3,score,yellow,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.recursion.operation,vsm_function,Recursion,operation,,,2,3,score,yellow,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s1.design,vsm_function,S1,design,,,3,3,score,green,high,E3,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s1.operation,vsm_function,S1,operation,,,3,3,score,green,high,E3,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s2.design,vsm_function,S2,design,,,2,3,score,yellow,medium,E3,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s2.operation,vsm_function,S2,operation,,,1,3,score,yellow,medium,E3,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s3.design,vsm_function,S3,design,,,1,3,score,red,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s3.operation,vsm_function,S3,operation,,,1,3,score,red,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s3star.design,vsm_function,S3*,design,,,1,3,score,red,medium,E1,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s3star.operation,vsm_function,S3*,operation,,,0,3,score,red,medium,E1,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s4.design,vsm_function,S4,design,,,0,3,score,red,medium,E0,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s4.operation,vsm_function,S4,operation,,,0,3,score,red,medium,E0,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s5.design,vsm_function,S5,design,,,1,3,score,red,low,E1,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.s5.operation,vsm_function,S5,operation,,,0,3,score,red,low,E1,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,vsm.structural_completeness,vsm_completeness,,design,,,14,30,score,assessed,medium,E2,available
